"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2020","577.66","569.10","582.71","569.10","","1.50%"
"07/14/2020","569.10","565.00","569.70","554.59","","0.73%"
"07/13/2020","565.00","563.38","572.74","562.74","","0.29%"
"07/10/2020","563.38","553.66","563.48","546.28","","1.76%"
"07/09/2020","553.66","562.57","568.25","552.10","","-1.58%"
"07/08/2020","562.57","565.43","566.44","559.37","","-0.51%"
"07/07/2020","565.43","570.64","571.08","564.01","","-0.91%"
"07/06/2020","570.64","552.44","573.53","552.44","","3.29%"
"07/03/2020","552.44","562.26","565.08","548.61","","-1.75%"
"07/02/2020","562.26","553.89","568.99","553.89","","1.51%"
"07/01/2020","553.89","554.91","560.63","545.61","","-0.18%"
"06/30/2020","554.91","554.49","559.39","550.71","","0.08%"
"06/29/2020","554.49","546.69","558.36","541.04","","1.43%"
"06/26/2020","546.69","547.67","558.78","546.69","","-0.18%"
"06/25/2020","547.67","542.74","550.61","531.06","","0.91%"
"06/24/2020","542.74","560.75","561.22","542.74","","-3.21%"
"06/23/2020","560.75","551.91","568.76","551.91","","1.60%"
"06/22/2020","551.91","557.97","559.10","548.94","","-1.09%"
"06/19/2020","557.97","558.21","566.48","553.04","","-0.04%"
"06/18/2020","558.21","551.93","578.34","547.38","","1.14%"
"06/17/2020","551.93","561.26","567.64","548.72","","-1.66%"
"06/16/2020","561.26","544.31","570.64","543.79","","3.11%"
"06/15/2020","544.31","543.37","546.31","525.54","","0.17%"
"06/12/2020","543.37","540.12","555.14","531.06","","0.60%"
"06/11/2020","540.12","566.29","566.29","540.12","","-4.62%"
"06/10/2020","566.29","568.61","583.55","559.34","","-0.41%"
"06/09/2020","568.61","586.33","586.33","561.22","","-3.02%"
"06/08/2020","586.33","591.08","596.48","579.58","","-0.80%"
"06/05/2020","591.08","559.11","591.21","559.11","","5.72%"
"06/04/2020","559.11","560.98","563.45","549.14","","-0.33%"
"06/03/2020","560.98","527.71","560.98","527.71","","6.30%"
"06/02/2020","527.71","517.19","531.47","517.19","","2.03%"
"06/01/2020","517.19","503.33","518.78","503.33","","2.75%"
"05/29/2020","503.33","521.35","521.35","500.29","","-3.46%"
"05/28/2020","521.35","518.45","530.15","511.08","","0.56%"
"05/27/2020","518.45","501.45","525.93","501.45","","3.39%"
"05/26/2020","501.45","483.10","502.77","483.10","","3.80%"
"05/22/2020","483.10","499.65","499.65","474.94","","-3.31%"
"05/21/2020","499.65","505.82","507.20","498.33","","-1.22%"
"05/20/2020","505.82","502.93","506.24","489.14","","0.57%"
"05/19/2020","502.93","500.45","514.08","496.48","","0.50%"
"05/18/2020","500.45","480.61","500.80","480.21","","4.13%"
"05/15/2020","480.61","478.38","492.43","474.95","","0.47%"
"05/14/2020","478.38","498.21","498.21","464.89","","-3.98%"
"05/13/2020","498.21","513.64","513.64","497.03","","-3.00%"
"05/12/2020","513.64","515.04","522.07","511.61","","-0.27%"
"05/11/2020","515.04","519.18","528.43","510.57","","-0.80%"
"05/07/2020","519.18","508.29","520.40","506.18","","2.14%"
"05/06/2020","508.29","500.47","518.15","500.17","","1.56%"
"05/05/2020","500.47","488.30","504.21","488.30","","2.49%"
"05/04/2020","488.30","493.68","494.37","482.23","","-1.09%"
"05/01/2020","493.68","512.95","512.95","491.25","","-3.76%"
"04/30/2020","512.95","535.53","544.00","512.59","","-4.22%"
"04/29/2020","535.53","513.51","535.54","511.10","","4.29%"
"04/28/2020","513.51","486.43","517.17","486.43","","5.57%"
"04/27/2020","486.43","478.28","494.33","478.28","","1.70%"
"04/24/2020","478.28","485.75","486.93","472.57","","-1.54%"
"04/23/2020","485.75","486.75","487.94","475.79","","-0.21%"
"04/22/2020","486.75","474.43","489.39","474.13","","2.60%"
"04/21/2020","474.43","490.34","490.34","474.43","","-3.24%"
"04/20/2020","490.34","495.46","499.65","485.46","","-1.03%"
"04/17/2020","495.46","469.69","497.85","469.69","","5.49%"
"04/16/2020","469.69","470.57","481.32","460.82","","-0.19%"
"04/15/2020","470.57","496.85","497.08","469.40","","-5.29%"
"04/14/2020","496.85","514.33","522.70","496.64","","-3.40%"
"04/09/2020","514.33","498.49","527.43","497.38","","3.18%"
"04/08/2020","498.49","512.69","512.69","486.41","","-2.77%"
"04/07/2020","512.69","483.10","528.66","483.10","","6.13%"
"04/06/2020","483.10","446.69","486.51","446.69","","8.15%"
"04/03/2020","446.69","470.73","470.81","441.86","","-5.11%"
"04/02/2020","470.73","468.66","485.89","464.60","","0.44%"
"04/01/2020","468.66","506.24","506.24","466.93","","-7.42%"
"03/31/2020","506.24","496.11","514.91","493.35","","2.04%"
"03/30/2020","496.11","513.13","514.90","487.14","","-3.32%"
"03/27/2020","513.13","529.50","529.50","494.03","","-3.09%"
"03/26/2020","529.50","495.53","529.50","470.78","","6.86%"
"03/25/2020","495.53","453.68","495.53","453.68","","9.22%"
"03/24/2020","453.68","401.75","453.68","401.75","","12.93%"
"03/23/2020","401.75","429.02","446.17","394.72","","-6.36%"
"03/20/2020","429.02","414.07","448.55","414.07","","3.61%"
"03/19/2020","414.07","411.88","417.33","381.60","","0.53%"
"03/18/2020","411.88","442.57","442.59","407.49","","-6.93%"
"03/17/2020","442.57","437.08","457.81","410.80","","1.26%"
"03/16/2020","437.08","476.43","476.45","410.63","","-8.26%"
"03/13/2020","476.43","471.46","511.06","470.37","","1.05%"
"03/12/2020","471.46","546.35","546.35","468.56","","-13.71%"
"03/11/2020","546.35","554.16","572.27","543.55","","-1.41%"
"03/10/2020","554.16","547.49","576.49","547.49","","1.22%"
"03/09/2020","547.49","596.52","596.73","544.54","","-8.22%"
"03/06/2020","596.52","618.39","618.39","584.00","","-3.54%"
"03/05/2020","618.39","631.01","637.42","612.11","","-2.00%"
"03/04/2020","631.01","625.81","641.48","620.37","","0.83%"
"03/03/2020","625.81","620.09","639.05","620.09","","0.92%"
"03/02/2020","620.09","622.61","642.88","606.01","","-0.40%"
"02/28/2020","622.61","645.57","645.57","611.08","","-3.56%"
"02/27/2020","645.57","679.69","679.69","639.08","","-5.02%"
