"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2021","12,362.87","12,213.06","12,409.86","12,213.01","","1.23%"
"01/19/2021","12,213.06","12,285.32","12,357.45","12,160.67","","-0.59%"
"01/18/2021","12,285.32","12,280.27","12,373.28","12,254.95","","0.04%"
"01/15/2021","12,280.27","12,448.80","12,455.49","12,196.72","","-1.35%"
"01/14/2021","12,448.80","12,367.07","12,451.06","12,327.34","","0.66%"
"01/13/2021","12,367.07","12,303.85","12,448.48","12,286.41","","0.51%"
"01/12/2021","12,303.85","12,387.70","12,438.49","12,274.61","","-0.68%"
"01/11/2021","12,387.70","12,522.59","12,600.58","12,387.70","","-1.08%"
"01/08/2021","12,522.59","12,464.81","12,624.58","12,464.81","","0.46%"
"01/07/2021","12,464.81","12,521.74","12,597.21","12,396.24","","-0.45%"
"01/06/2021","12,521.74","12,227.44","12,546.77","12,180.47","","2.41%"
"01/05/2021","12,227.44","12,278.28","12,342.70","12,168.53","","-0.41%"
"01/04/2021","12,278.28","12,122.93","12,400.09","12,122.93","","1.28%"
"12/31/2020","12,122.93","12,260.48","12,260.48","12,073.81","","-1.12%"
"12/30/2020","12,260.48","12,389.63","12,455.36","12,256.34","","-1.04%"
"12/29/2020","12,389.63","12,211.93","12,521.59","12,211.93","","1.46%"
"12/24/2020","12,211.93","12,139.22","12,265.19","12,139.22","","0.60%"
"12/23/2020","12,139.22","11,986.25","12,154.46","11,972.01","","1.28%"
"12/22/2020","11,986.25","11,827.14","12,004.82","11,753.54","","1.35%"
"12/21/2020","11,827.14","12,020.52","12,020.52","11,581.79","","-1.61%"
"12/18/2020","12,020.52","12,043.84","12,103.95","11,992.96","","-0.19%"
"12/17/2020","12,043.84","11,922.89","12,119.99","11,922.89","","1.01%"
"12/16/2020","11,922.89","11,784.66","11,988.60","11,767.20","","1.17%"
"12/15/2020","11,784.66","11,661.78","11,800.41","11,634.14","","1.05%"
"12/14/2020","11,661.78","11,560.63","11,766.49","11,558.74","","0.87%"
"12/11/2020","11,560.63","11,675.21","11,682.40","11,545.47","","-0.98%"
"12/10/2020","11,675.21","11,752.98","11,810.35","11,585.11","","-0.66%"
"12/09/2020","11,752.98","11,787.02","11,824.29","11,752.98","","-0.29%"
"12/08/2020","11,787.02","11,762.34","11,823.81","11,704.08","","0.21%"
"12/07/2020","11,762.34","11,812.17","11,849.25","11,655.07","","-0.42%"
"12/04/2020","11,812.17","11,873.11","11,902.26","11,804.24","","-0.51%"
"12/03/2020","11,873.11","11,766.19","11,902.33","11,682.71","","0.91%"
