"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2021","2,585.17","2,603.36","2,606.33","2,556.86","","-0.70%"
"01/19/2021","2,603.36","2,599.18","2,651.33","2,584.45","","0.16%"
"01/18/2021","2,599.18","2,587.62","2,608.83","2,570.44","","0.45%"
"01/15/2021","2,587.62","2,628.04","2,640.45","2,564.93","","-1.54%"
"01/14/2021","2,628.04","2,605.63","2,648.41","2,605.63","","0.86%"
"01/13/2021","2,605.63","2,657.96","2,658.08","2,602.39","","-1.97%"
"01/12/2021","2,657.96","2,623.05","2,663.19","2,623.05","","1.33%"
"01/11/2021","2,623.05","2,652.44","2,664.29","2,604.95","","-1.11%"
"01/08/2021","2,652.44","2,682.54","2,691.72","2,642.10","","-1.12%"
"01/07/2021","2,682.54","2,678.11","2,692.21","2,629.53","","0.17%"
"01/06/2021","2,678.11","2,466.86","2,691.65","2,466.86","","8.56%"
"01/05/2021","2,466.86","2,469.82","2,499.05","2,441.26","","-0.12%"
"01/04/2021","2,469.82","2,500.51","2,528.74","2,458.71","","-1.23%"
"12/31/2020","2,500.51","2,527.36","2,527.36","2,480.37","","-1.06%"
"12/30/2020","2,527.36","2,528.10","2,580.48","2,523.08","","-0.03%"
"12/29/2020","2,528.10","2,578.82","2,588.00","2,511.52","","-1.97%"
"12/24/2020","2,578.82","2,549.68","2,615.65","2,548.95","","1.14%"
"12/23/2020","2,549.68","2,484.68","2,552.27","2,449.85","","2.62%"
"12/22/2020","2,484.68","2,444.08","2,498.20","2,434.63","","1.66%"
"12/21/2020","2,444.08","2,500.44","2,500.44","2,382.84","","-2.25%"
"12/18/2020","2,500.44","2,548.03","2,555.32","2,500.09","","-1.87%"
"12/17/2020","2,548.03","2,550.21","2,577.01","2,534.95","","-0.09%"
"12/16/2020","2,550.21","2,577.24","2,607.30","2,544.06","","-1.05%"
"12/15/2020","2,577.24","2,554.98","2,581.50","2,509.32","","0.87%"
"12/14/2020","2,554.98","2,502.57","2,590.82","2,491.10","","2.09%"
"12/11/2020","2,502.57","2,556.00","2,576.95","2,477.76","","-2.09%"
"12/10/2020","2,556.00","2,591.59","2,606.77","2,500.31","","-1.37%"
"12/09/2020","2,591.59","2,583.27","2,627.41","2,582.03","","0.32%"
"12/08/2020","2,583.27","2,623.10","2,623.10","2,563.95","","-1.52%"
"12/07/2020","2,623.10","2,695.29","2,695.78","2,608.76","","-2.68%"
"12/04/2020","2,695.29","2,690.36","2,721.85","2,669.10","","0.18%"
"12/03/2020","2,690.36","2,668.65","2,699.40","2,638.97","","0.81%"
"12/02/2020","2,668.65","2,606.84","2,675.96","2,589.34","","2.37%"
"12/01/2020","2,606.84","2,468.46","2,607.22","2,466.07","","5.61%"
"11/30/2020","2,468.46","2,567.76","2,567.76","2,468.46","","-3.87%"
